movie_title,sentiment
aliens,-0.3507133861912737
americanpsycho,-0.04553364060123474
buffythevampireslayer,-0.13756846525737831
dragmetohell,-0.09566684228001082
eightleggedfreaks,-0.26493491010072673
finaldestination,-0.1930208942332871
freddyvs.jason,-0.20288902658971278
fridaythe13thpartviiijasontakesmanhattan,-0.2661298394237103
ghostship,-0.07853691870999936
gingersnaps,-0.2251571028056502
gremlins,-0.012626465238206885
grudgethe,-0.12454434229842552
halloweenthecurseofmichaelmyers,-0.20498804703925402
hannibal,-0.015250035221048938
houseof1000corpses,-0.13665961266057902
insidious,-0.17738312067393622
interviewwiththevampire,-0.11490252526883273
jasonx,-0.19629276726180078
jennifersbody,-0.13323719065122386
jurassicpark,0.012139013794008372
legion,-0.21262435883422345
manhunter,-0.012044983245958965
mulhollanddrive,0.003804917611940527
mummythe,-0.2973890845646707
nightmareonelmstreetthefinalchapter,-0.21887994580425552
orphan,-0.23751261073689986
petsematary,-0.1146731986709784
ringu,-0.12423987276323546
scream,-0.150238991128479
shiningthe,0.026481476954281095
signs,-0.08319922807198359
silenceofthelambs,-0.06670719562855769
silverbullet,-0.22567728039038248
sixthsensethe,0.016118807561302375
slither,-0.03485234810101454
thingthe,-0.3421297628502363
whenastrangercalls,-0.017172212230609406
